Date,UserID,Product,Quantity,Price
2024-04-11,292,Laptop,1,855.53
2023-12-17,252,Mouse,10,714.99
2024-05-12,983,Monitor,6,906.98
2023-10-26,644,Monitor,1,234.31
2024-04-07,422,Keyboard,5,184.65
2024-03-27,404,Monitor,4,378.82
2023-12-10,82,Headphones,9,83.09
2024-06-29,936,Headphones,8,996.16
2023-11-08,658,Smartphone,5,549.15
2023-09-17,954,Mouse,6,807.23
2023-07-21,662,Tablet,7,257.84
2024-05-18,140,Tablet,8,578.75
2024-03-29,168,Monitor,4,211.26
2023-12-06,391,Smartphone,6,449.39
2023-08-25,750,Camera,6,954.57
2023-12-26,176,Keyboard,7,215.27
2023-07-28,788,Laptop,7,672.89
2024-03-08,787,Monitor,8,527.52
2023-10-26,608,Keyboard,5,346.38
2023-12-13,674,Monitor,1,563.11
2024-05-18,545,Tablet,6,208.9
2024-02-12,416,Monitor,6,77.04
2023-11-27,374,Monitor,3,52.83
2023-12-18,376,Laptop,10,394.3
2023-09-11,797,Camera,8,780.6
2023-11-16,781,Laptop,7,521.85
2023-12-27,808,Monitor,10,82.16
2023-11-12,835,Monitor,6,883.03
2023-10-02,63,Laptop,2,443.62
2023-11-09,781,Tablet,9,714.08
2023-10-31,397,Monitor,1,391.1
2024-06-23,81,Printer,2,927.84
2024-03-29,643,Monitor,9,988.8
2024-03-02,810,Camera,10,951.62
2023-11-08,548,Laptop,5,353.9
2023-10-26,95,Printer,4,83.55
2023-12-19,378,Tablet,5,614.35
2024-07-02,490,Headphones,9,408.31
2024-06-21,600,Headphones,1,612.11
2024-01-29,865,Tablet,4,728.34
2024-05-24,24,Headphones,1,42.88
2023-12-29,794,Camera,5,193.75
2024-02-12,495,Camera,3,477.68
2024-01-04,715,Laptop,9,561.95
2023-12-27,918,Mouse,9,154.4
2023-09-25,567,Tablet,5,586.03
2024-05-03,808,Camera,2,400.63
2024-04-21,672,Headphones,2,158.19
2024-05-18,733,Laptop,6,138.5
2023-12-01,815,Smartphone,8,522.86
2024-01-30,754,Camera,6,817.76
2023-11-24,542,Smartphone,6,498.02
2023-08-21,130,Camera,9,400.7
2024-01-11,914,Tablet,7,707.18
2023-08-10,482,Smartphone,6,448.68
2024-03-13,571,Headphones,1,976.74
2023-12-24,152,Headphones,3,687.22
2023-08-26,36,Headphones,10,536.14
2024-03-05,267,Keyboard,2,936.93
2024-07-18,289,Mouse,7,732.01
2023-09-08,299,Laptop,1,313.07
2024-04-08,419,Camera,10,835.27
2024-04-27,125,Mouse,1,636.8
2023-08-15,122,Smartphone,3,490.73
2024-03-01,456,Laptop,8,425.62
2024-04-21,622,Smartphone,7,743.86
2024-04-30,570,Laptop,8,882.64
2023-10-24,98,Tablet,3,708.87
2024-04-28,959,Tablet,6,368.02
2024-05-31,431,Printer,1,998.02
2024-05-18,815,Smartphone,5,394.99
2023-12-13,59,Printer,8,854.64
2023-07-23,267,Keyboard,7,197.84
2023-08-23,433,Monitor,5,603.46
2024-01-27,190,Camera,3,756.23
2023-09-06,555,Monitor,6,93.54
2023-08-05,975,Monitor,6,617.45
2024-01-07,265,Smartphone,3,783.27
2024-02-24,662,Tablet,10,698.28
2023-12-24,215,Keyboard,3,915.31
2023-09-03,772,Smartphone,10,305.55
2023-07-25,51,Laptop,10,301.21
2023-10-26,520,Keyboard,8,703.31
2024-03-08,823,Mouse,8,98.25
2023-08-25,300,Laptop,6,604.44
2024-04-24,107,Tablet,10,799.58
2024-07-02,710,Keyboard,5,377.65
2024-05-16,8,Mouse,5,906.02
2024-01-16,120,Mouse,3,342.47
2023-10-22,940,Mouse,3,61.03
2023-10-26,298,Monitor,10,19.7
2024-01-23,816,Headphones,2,27.33
2023-11-12,980,Keyboard,8,740.64
2024-01-26,11,Smartphone,3,374.06
2024-03-28,409,Mouse,10,612.28
2023-12-27,606,Printer,9,994.01
2024-03-31,87,Laptop,1,632.13
2024-06-06,346,Tablet,6,57.85
2023-11-24,342,Monitor,10,620.42
2023-08-06,428,Tablet,2,996.39
2024-04-25,769,Camera,8,200.03
2024-02-27,552,Mouse,1,895.88
2023-09-11,816,Mouse,9,643.24
2023-09-15,700,Tablet,6,942.84
2024-06-06,723,Mouse,3,208.85
2024-07-13,245,Camera,7,828.83
2024-01-09,815,Laptop,6,718.22
2024-04-24,140,Monitor,4,38.8
2023-11-10,676,Monitor,2,349.23
2024-05-02,287,Smartphone,2,805.4
2024-06-25,523,Printer,10,29.2
2023-12-17,716,Printer,2,696.49
2023-11-23,893,Printer,1,581.59
2023-12-21,723,Mouse,8,748.59
2024-04-17,637,Monitor,8,869.93
2023-10-31,578,Headphones,8,65.37
2024-05-13,627,Monitor,5,935.4
2024-03-21,840,Headphones,2,499.94
2024-01-11,933,Keyboard,3,77.44
2023-08-27,408,Headphones,7,296.57
2024-01-05,179,Headphones,4,166.86
2024-03-22,73,Keyboard,9,120.64
2023-08-14,67,Camera,8,889.22
2024-07-08,701,Keyboard,9,440.72
2024-05-20,98,Monitor,4,701.89
2023-08-01,762,Laptop,7,69.58
2024-05-30,598,Laptop,7,816.83
2024-05-27,244,Headphones,5,557.48
2023-08-24,977,Printer,8,429.3
2024-01-08,732,Monitor,8,232.3
2023-08-08,938,Monitor,10,558.11
2024-06-04,768,Headphones,2,383.21
2024-04-08,824,Headphones,2,222.87
2023-12-08,612,Smartphone,3,135.87
2023-12-09,352,Mouse,6,385.48
2023-10-19,389,Camera,9,737.76
2024-07-07,131,Laptop,10,304.81
2024-06-05,34,Printer,3,430.65
2024-05-02,783,Headphones,3,70.35
2024-02-19,606,Tablet,2,998.1
2024-06-25,432,Mouse,2,169.67
2023-09-08,664,Laptop,6,194.74
2023-12-19,763,Mouse,2,413.01
2024-01-21,911,Camera,8,659.57
2023-09-20,154,Camera,5,310.13
2024-01-25,454,Smartphone,1,579.69
2023-11-21,210,Smartphone,10,797.32
2023-12-16,810,Keyboard,6,27.55
2024-05-28,247,Monitor,8,256.12
2023-09-15,333,Camera,3,67.27
2024-06-25,303,Printer,3,470.32
2024-05-19,32,Laptop,10,135.15
2024-01-15,452,Laptop,2,359.16
2024-01-05,359,Headphones,1,875.4
2024-06-09,2,Smartphone,5,194.0
2024-04-15,240,Camera,5,570.87
2023-09-11,891,Monitor,1,276.07
2023-10-28,934,Tablet,9,854.99
2024-04-08,200,Camera,7,925.98
2023-09-10,986,Monitor,3,46.66
2023-09-17,269,Headphones,5,840.51
2023-11-04,681,Tablet,10,472.21
2023-07-24,617,Laptop,10,535.43
2023-10-30,701,Tablet,10,838.38
2024-01-31,733,Laptop,10,327.87
2024-04-06,743,Monitor,10,84.79
2024-07-18,806,Printer,8,54.7
2024-07-03,570,Monitor,5,919.2
2023-09-04,330,Printer,5,132.68
2024-07-08,157,Laptop,1,475.54
2024-05-25,856,Monitor,1,629.85
2024-05-22,835,Laptop,8,795.54
2023-12-10,759,Tablet,8,573.1
2024-04-13,88,Printer,1,475.74
2023-11-20,999,Mouse,1,205.04
2023-11-02,809,Laptop,5,65.62
2023-12-24,86,Smartphone,6,211.07
2023-12-13,16,Smartphone,4,906.13
2023-12-11,621,Smartphone,10,233.07
2023-11-16,628,Monitor,3,877.57
2024-06-02,378,Smartphone,3,101.26
2024-04-19,964,Smartphone,2,791.53
2023-10-19,294,Mouse,3,845.18
2023-09-15,857,Smartphone,1,161.46
2024-06-29,478,Smartphone,5,454.04
2024-03-04,612,Smartphone,8,482.6
2023-11-13,759,Mouse,3,93.13
2024-06-01,656,Headphones,7,485.72
2024-04-23,102,Smartphone,10,374.26
2023-11-23,18,Laptop,8,693.97
2023-11-25,506,Mouse,5,709.03
2023-09-15,36,Tablet,2,275.73
2023-11-18,920,Tablet,4,640.92
2023-07-20,295,Headphones,8,953.89
2024-03-14,914,Laptop,1,458.14
2024-05-04,492,Keyboard,5,349.94
2023-10-23,695,Printer,6,664.86
2023-11-22,70,Smartphone,10,894.05
2023-11-14,488,Mouse,7,923.6
2023-09-05,570,Monitor,10,289.19
2023-10-16,778,Monitor,7,635.58
2024-03-12,145,Printer,10,850.84
2024-04-16,849,Printer,2,549.33
2024-01-24,598,Headphones,3,941.3
2024-01-27,74,Camera,3,933.22
2023-09-26,843,Camera,3,434.13
2024-04-22,690,Printer,10,840.58
2024-07-02,721,Mouse,3,682.5
2024-03-22,729,Tablet,8,94.01
2023-10-03,802,Tablet,8,307.59
2023-12-20,792,Mouse,4,42.49
2023-12-10,634,Camera,10,306.96
2023-10-13,517,Monitor,2,37.54
2024-01-20,76,Keyboard,4,114.52
2024-04-29,78,Monitor,1,893.33
2024-02-24,125,Keyboard,7,997.79
2023-09-26,847,Headphones,5,163.18
2023-09-04,894,Printer,1,848.33
2023-10-21,355,Tablet,6,275.14
2024-03-13,801,Tablet,1,820.69
2024-02-08,608,Laptop,1,758.84
2024-02-22,295,Camera,6,604.65
2024-06-24,100,Printer,1,543.42
2023-08-27,47,Keyboard,6,555.37
2023-10-27,890,Laptop,7,979.08
2024-05-03,70,Smartphone,1,349.63
2024-03-29,485,Smartphone,1,798.56
2024-02-26,402,Keyboard,3,586.03
2024-07-10,149,Headphones,3,200.69
2023-08-11,70,Smartphone,2,58.37
2024-03-25,120,Smartphone,5,241.61
2023-07-29,411,Headphones,9,746.54
2024-03-21,341,Printer,2,968.29
2024-06-08,839,Monitor,4,234.99
2023-10-27,908,Keyboard,7,872.17
2024-05-04,428,Smartphone,10,443.33
2024-01-15,690,Tablet,7,185.95
2024-02-27,505,Tablet,3,988.27
2024-03-25,710,Camera,4,811.94
2023-12-13,284,Printer,6,502.66
2023-10-23,767,Tablet,3,689.26
2024-04-01,374,Laptop,5,724.84
2024-06-08,195,Monitor,10,922.33
2023-07-23,783,Tablet,10,442.36
2023-08-04,195,Laptop,8,894.83
2024-04-24,208,Tablet,5,572.71
2024-06-19,985,Mouse,6,227.14
